"","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"1","G04000109426001","040019426001","100","10"
"2","G04000109426002","040019426002","100","10"
"3","G04000109427001","040019427001","98","10"
"4","G04000109427002","040019427002","100","10"
"5","G04000109427003","040019427003","98","10"
"6","G04000109427004","040019427004","100","10"
"7","G04000109440001","040019440001","99","10"
"8","G04000109440002","040019440002","99","10"
"9","G04000109440003","040019440003","99","10"
"10","G04000109441001","040019441001","100","10"
"11","G04000109441002","040019441002","100","10"
"12","G04000109441003","040019441003","100","10"
"13","G04000109441004","040019441004","100","10"
"14","G04000109441005","040019441005","100","10"
"15","G04000109442011","040019442011","100","10"
"16","G04000109442012","040019442012","100","10"
"17","G04000109442021","040019442021","100","10"
"18","G04000109442022","040019442022","100","10"
"19","G04000109442023","040019442023","100","10"
"20","G04000109443011","040019443011","100","10"
"21","G04000109443012","040019443012","100","10"
"22","G04000109443013","040019443013","100","10"
"23","G04000109443021","040019443021","100","10"
"24","G04000109443022","040019443022","100","10"
"25","G04000109449011","040019449011","100","10"
"26","G04000109449012","040019449012","100","10"
"27","G04000109449013","040019449013","100","10"
"28","G04000109449014","040019449014","100","10"
"29","G04000109449021","040019449021","100","10"
"30","G04000109449022","040019449022","100","10"
"31","G04000109449023","040019449023","100","10"
"32","G04000109449024","040019449024","100","10"
"33","G04000109450011","040019450011","95","10"
"34","G04000109450012","040019450012","88","10"
"35","G04000109450013","040019450013","99","10"
"36","G04000109450014","040019450014","93","10"
"37","G04000109450021","040019450021","100","10"
"38","G04000109450022","040019450022","100","10"
"39","G04000109450023","040019450023","100","10"
"40","G04000109451001","040019451001","98","10"
"41","G04000109451002","040019451002","98","10"
"42","G04000109702011","040019702011","73","9"
"43","G04000109702012","040019702012","50","7"
"44","G04000109702021","040019702021","93","10"
"45","G04000109702022","040019702022","98","10"
"46","G04000109702023","040019702023","97","10"
"47","G04000109703001","040019703001","72","9"
"48","G04000109703002","040019703002","72","9"
"49","G04000109703003","040019703003","72","9"
"50","G04000109705011","040019705011","61","8"
"51","G04000109705012","040019705012","46","6"
"52","G04000109705013","040019705013","74","9"
"53","G04000109705014","040019705014","65","8"
"54","G04000109705021","040019705021","54","7"
"55","G04000109705022","040019705022","51","7"
"56","G04000109705023","040019705023","58","8"
"57","G04000300001011","040030001011","97","10"
"58","G04000300001021","040030001021","95","10"
"59","G04000300002011","040030002011","77","9"
"60","G04000300002012","040030002012","77","9"
"61","G04000300002021","040030002021","88","10"
"62","G04000300002022","040030002022","93","10"
"63","G04000300002023","040030002023","89","10"
"64","G04000300002024","040030002024","86","10"
